teff,radius_km,mass_mjup
4141.4,383306.5,508.059
3352.1,261588.4,309.746
4998.9,532141.9,752.153
3573.8,291957.4,363.862
2766.1,174768.3,195.533
2524.8,185388.8,187.458
4191.9,402763.4,603.375
7736.7,1096732.0,1874.404
4603.9,433548.4,597.28
3856.9,378701.7,477.153
4869.7,447583.2,661.029
6897.9,906253.7,1504.118
4524.0,458803.1,626.563
3414.5,324040.1,377.013
6422.4,830608.1,1280.508
4898.3,497478.9,741.73
7114.4,1051594.4,1810.072
4322.4,470942.6,608.574
2374.8,171197.0,195.712
2316.5,165055.4,174.311
7698.8,1160068.9,1986.122
8522.1,1193084.6,2106.028
3959.9,408031.9,454.307
3581.0,306314.3,385.537
6999.4,1050492.4,1704.852
2605.5,188716.2,215.137
2699.9,230865.1,255.286
5264.4,633085.6,881.75
3577.0,301415.2,382.005
4242.9,397923.9,522.864
3898.9,344522.2,460.231
4923.4,469994.2,689.179
7280.3,1044794.0,1632.299
4198.8,412815.3,564.789
5485.2,537420.1,882.185
2318.0,166582.4,157.135
3923.7,372703.6,504.812
2953.6,229597.7,266.104
2471.3,198055.2,196.606
2647.0,225663.6,258.719
3635.0,320125.8,401.086
5612.0,679524.7,1098.366
2426.1,156867.2,180.278
3890.6,404935.4,538.149
3266.6,298354.7,355.404
3519.3,329084.9,403.177
6422.2,746008.4,1178.003
4968.5,566936.2,810.068
6709.6,864965.9,1542.661
3896.0,370811.2,463.558
3060.3,257669.5,299.641
3853.8,382471.5,438.36
4327.0,468256.2,638.344
4424.8,427949.7,605.316
2913.8,198468.6,219.102
4197.6,417485.2,564.745
4513.5,473986.0,631.046
10544.6,2031883.0,3992.98
8413.1,1260605.2,2382.741
2951.2,212811.0,263.965
3591.7,337026.2,416.483
2322.2,166990.7,161.427
3275.9,274629.4,326.162
4402.1,511036.5,677.085
6918.1,916334.2,1387.49
2898.3,253554.8,291.744
3044.8,252101.0,309.906
2256.1,154005.4,157.135
4074.6,382901.3,460.52
2558.4,207229.9,223.016
3320.8,295411.2,342.671
2887.9,222257.8,258.988
4038.8,372936.1,486.619
2343.9,151606.2,157.135
2226.2,155072.4,160.959
10035.1,1674839.1,2920.234
2565.3,155229.9,186.03
2820.8,197690.2,216.923
8739.9,1303261.5,2307.283
13257.1,2432534.7,5457.009
2500.7,194522.8,204.236
3323.1,304494.9,390.206
4637.4,490122.6,691.394
8237.6,1338453.0,2114.586
2733.5,222860.6,237.018
3791.3,351737.8,430.858
5273.5,673511.5,982.312
4833.4,525509.4,745.331
3803.2,347147.6,387.727
4029.0,382270.2,471.35
2406.7,158918.7,173.367
3770.8,320133.1,433.332
3617.1,346850.4,423.59
4183.0,463677.9,633.054
3327.2,260556.2,335.596
4480.4,554318.6,767.75
6065.9,758823.2,1187.495
4349.7,454428.4,595.088
4625.0,513459.3,697.101
4553.5,401880.8,548.006
4395.8,413226.0,525.062
3184.2,245230.2,293.519
4473.4,480441.5,677.57
4243.1,366120.1,485.435
9736.1,1633307.4,2836.548
7418.2,1088601.2,1865.758
4779.9,549871.6,716.519
3122.1,267604.8,283.865
2548.3,188324.0,214.209
6640.8,745612.9,1371.138
4600.5,499658.2,648.849
4744.9,536335.2,773.092
2211.5,146044.8,157.135
5699.2,706839.7,1108.625
5080.9,525596.1,757.231
2519.0,208770.7,214.551
3418.8,297760.8,359.044
4298.6,505982.9,649.355
3988.6,424467.6,547.702
3464.7,326512.0,414.879
3874.2,367255.9,483.015
3718.5,349996.4,428.538
4409.2,460208.7,593.715
6887.3,1086637.9,1718.713
2220.5,150527.5,157.135
3604.4,346663.8,433.794
4482.2,461878.5,605.286
4554.9,475294.3,666.468
3506.2,297605.5,389.055
2169.9,146482.9,157.135
4996.7,488682.4,683.88
7786.0,1260258.7,2112.291
2200.0,162417.7,157.135
5812.5,652901.5,1053.225
3543.8,314386.4,402.9
3866.6,377990.0,499.71
2486.5,211284.4,224.733
3473.6,314272.6,400.979
6640.0,905947.4,1496.914
5526.7,543130.8,839.674
8991.3,1253044.0,2120.754
6553.8,848384.2,1356.049
4610.7,514237.6,747.931
8498.4,1216433.6,2140.712
4689.3,562098.6,747.875
5580.6,649288.7,1023.239
3535.9,317033.9,413.41
4114.1,444884.4,553.952
3041.7,256323.7,299.284
5776.8,783518.1,1165.563
2471.3,191082.5,203.13
5833.9,661778.8,986.288
3779.0,347917.7,450.25
6583.7,888031.2,1349.328
5057.7,688501.9,961.58
8839.0,1366928.4,2277.232
5337.1,604361.4,946.133
2338.3,162791.2,157.135
4002.1,376619.4,497.448
2491.5,181077.6,204.164
3100.9,284201.7,345.767
8195.4,1105639.9,1774.644
5455.7,620393.9,877.643
3191.6,251869.6,298.92
2920.9,217155.5,231.942
4177.9,411754.2,539.082
2641.9,177559.2,196.963
3058.9,250684.8,305.691
4772.4,499680.9,675.125
6346.9,839687.2,1332.111
5118.1,553358.4,857.527
2244.2,159107.6,157.135
4391.1,475571.3,670.98
4262.4,454112.9,556.407
4768.0,487355.4,732.897
7238.3,1124700.0,1931.322
2194.9,147263.5,157.135
3176.1,260454.6,326.058
5364.8,571880.4,845.276
2261.1,166625.9,157.135
7848.1,1044241.6,1724.898
4839.8,487944.2,706.49
5621.5,630604.9,1038.689
3238.9,254201.9,331.399
5593.6,658607.5,1011.576
6408.9,772384.7,1242.07
4499.0,460005.1,633.415
4379.5,415637.2,634.193
4558.1,474381.0,652.832
2939.4,241547.3,261.825
3698.5,394778.5,466.172
3891.7,330048.9,464.3
4477.1,492459.2,715.104
6390.0,730841.7,1175.221
2724.2,203796.3,223.714
4147.2,347482.1,474.71
7098.8,1131773.3,1732.569
3168.8,248406.2,288.354
3045.7,234162.8,270.641
4401.1,493916.0,618.0
5656.5,689447.8,1036.85
3930.7,411446.9,529.883
6614.8,908296.4,1532.207
5600.3,649477.7,1047.271
5455.4,668155.9,1034.709
5445.2,638357.8,820.582
9830.4,1853150.7,3426.571
3784.5,355580.7,445.015
2274.8,145242.4,157.135
7911.9,1178693.2,1912.803
3459.1,278473.7,363.067
4432.5,396826.2,572.716
6803.8,905649.4,1508.426
2243.3,168165.2,157.135
2438.9,196414.3,191.472
2355.0,149106.5,157.135
3227.2,231965.7,276.843
4650.7,489666.3,748.263
4653.5,563493.6,801.027
4672.6,482277.3,655.96
2413.7,167491.4,168.156
2417.5,159613.9,157.135
4301.9,410538.6,548.536
3572.8,303667.8,358.971
5254.8,519799.5,760.267
5749.3,646592.6,924.411
4475.3,426692.7,586.902
5273.2,668707.6,968.786
4480.2,472955.5,631.546
5120.4,565371.8,804.829
3063.9,264464.1,297.54
3795.2,329632.5,454.273
4709.6,430918.3,615.252
5517.9,670356.3,1017.106
3600.0,288957.8,382.271
5105.4,548926.1,799.079
3547.4,331018.4,423.777
3733.0,396232.1,477.575
5332.6,688307.4,1024.502
2279.3,160564.2,157.135
2417.4,176181.6,184.678
2175.7,149891.9,159.007
2073.9,153531.9,157.135
3163.3,268131.1,303.941
5488.6,688934.4,960.468
3540.6,330964.5,417.322
4257.9,418820.6,615.755
6277.6,741483.2,1263.012
7109.5,927013.7,1530.634
3921.9,340640.7,496.573
6722.9,1048108.5,1562.918
4231.0,437703.2,565.491
3040.5,226020.2,267.357
3221.1,258163.1,325.193
2256.4,162254.6,159.218
2820.0,213580.8,256.646
3413.6,302041.6,393.437
5444.0,646835.0,1003.312
7648.8,1220997.9,2101.119
2454.5,169391.5,172.353
4876.5,547409.4,720.561
2695.7,215655.7,226.982
5006.5,543693.3,769.707
3929.0,387149.0,472.39
2170.8,147477.0,157.135
5863.1,664975.4,1109.392
3142.1,262088.7,322.427
3643.5,272535.0,341.441
2765.9,194611.2,221.701
3160.4,250259.2,309.872
5127.9,515487.9,741.213
3978.7,365508.2,450.76
4414.3,539130.2,684.247
4685.9,463761.5,702.836
6952.8,879517.5,1521.993
3647.2,308500.5,398.296
2233.5,160520.2,159.691
6257.2,788485.8,1240.821
3510.0,311803.9,401.939
6677.3,851278.3,1289.106
4501.4,537694.2,715.094
3810.2,367532.8,472.371
4368.5,481232.9,695.429
8607.3,1427494.9,2529.505
9556.7,1509771.4,2799.783
4259.0,413633.0,555.219
4304.5,432662.0,597.376
6594.7,839179.8,1249.871
3068.0,234997.4,265.583
4660.3,522602.7,686.682
4084.6,420918.8,514.197
4554.1,501513.9,676.159
2994.9,228076.6,268.227
2131.2,160651.7,157.135
2402.0,156101.4,157.135
2726.4,221863.5,213.352
3237.7,302500.9,362.781
3518.1,343145.6,414.538
9071.1,1416293.3,2501.567
6295.0,812733.7,1280.203
2834.1,212528.4,241.796
4633.7,508358.2,694.831
3686.2,316051.1,378.185
3645.1,353075.3,417.497
4850.7,458162.8,609.6
5372.2,583093.8,864.751
3376.9,316469.7,399.43
6819.4,744000.5,1237.454
2695.1,208330.1,209.172
4159.5,391242.0,527.716
11944.1,2242737.0,4259.582
4262.9,468694.2,628.433
6773.2,1024041.4,1666.504
4232.7,422179.7,565.214
5456.5,559670.9,838.404
4057.5,367698.0,501.542
4085.0,391057.9,457.655
3146.8,243580.0,280.132
4863.9,558909.2,742.654
3040.0,247779.0,264.328
5678.8,602371.5,897.71
6307.5,823187.3,1259.017
4696.3,508192.4,705.452
3661.6,314154.9,416.864
4455.2,531501.8,756.953
3649.1,337871.1,409.398
6131.4,713738.2,1115.893
2248.4,150051.8,157.135
3619.0,319659.3,400.607
2231.6,169490.9,157.135
2065.4,139309.0,157.366
7566.3,989000.4,1575.916
5775.6,703999.9,1080.18
2983.2,243812.5,294.011
2360.3,150404.6,157.135
2324.7,157683.7,157.135
3318.6,292399.1,338.811
11175.4,1923878.0,3692.551
4649.1,559652.1,745.402
3250.8,297367.9,334.45
5190.5,562823.0,763.764
2175.7,148400.2,157.135
3483.0,338772.5,413.16
4266.8,437638.7,568.851
3963.1,363582.2,489.831
5767.2,616265.4,993.032
4443.2,451854.5,693.118
4830.5,618116.3,899.695
3212.7,260705.2,301.475
5618.6,673206.4,1082.472
7687.7,1205698.3,1951.233
2532.9,215816.9,240.231
2976.8,241640.8,256.737
7098.6,964912.0,1540.656
3830.3,335498.5,449.998
7282.3,1012612.9,1627.491
3148.4,311217.0,367.531
7060.7,995275.4,1696.083
4231.4,405437.0,583.716
4400.6,475230.1,646.489
7593.4,1044263.2,1852.817
3566.9,335325.1,392.249
2911.5,213828.7,245.917
3214.5,326793.4,365.749
4901.5,481892.3,755.959
2300.0,153540.2,157.135
5091.3,648563.8,877.599
3263.6,270541.1,340.104
6611.5,832439.2,1324.084
2236.5,149466.3,157.135
3057.7,232989.2,278.537
2244.0,154385.6,157.135
2892.8,220266.3,269.774
4308.2,467045.1,641.009
3839.3,365968.1,454.414
3704.4,336361.0,428.054
3683.2,343661.7,461.813
4539.7,480552.6,618.539
2863.2,216715.1,232.913
5291.2,599419.4,928.065
5183.9,575264.1,895.6
4628.4,489284.9,716.052
4781.4,588968.2,822.182
4989.1,491363.7,666.695
9113.1,1546674.6,2706.804
3812.2,372351.7,489.439
3451.5,313587.2,409.923
2969.7,257861.7,286.053
2621.8,200156.9,228.502
2621.4,181142.7,192.582
2717.0,208882.7,256.509
3734.5,371756.2,495.956
4779.8,522328.1,687.36
4153.5,399197.7,547.118
2975.0,254541.6,283.298
6005.9,636584.8,1084.541
5534.8,627062.0,952.743
3824.5,358096.1,461.641
2969.3,286710.9,310.213
4767.9,537769.2,816.829
4286.0,467331.5,610.903
2183.1,165919.5,163.432
4018.9,369590.3,497.036
4226.1,465244.3,648.476
2793.3,225726.7,254.266
4380.7,420153.6,611.824
2270.1,153175.5,162.552
7113.6,1009867.8,1541.155
6668.8,918749.9,1435.369
3593.7,337530.7,428.351
4972.2,508914.2,703.704
2207.1,157003.5,157.135
2714.1,197431.9,206.757
3583.2,322167.4,414.342
2651.1,216546.3,221.276
5419.2,677699.5,933.727
9223.0,1500968.2,2625.639
2501.1,179748.5,203.407
2927.1,221706.5,267.343
4776.6,458411.4,634.729
8156.3,1134629.4,1923.41
2604.7,166630.6,196.042
4281.5,481830.5,641.717
8119.9,1381473.5,2278.431
2255.0,156968.7,157.135
2514.9,169450.3,186.985
3374.2,292793.8,373.18
3221.8,290514.9,345.124
5994.4,670843.8,1010.629
4629.5,478307.6,637.914
2332.1,157166.9,157.135
4941.4,589450.1,795.38
3171.2,260691.8,329.642
7093.1,920618.3,1466.35
3140.0,262303.9,316.611
3085.4,264257.8,314.316
4899.6,592528.5,812.04
5444.5,687341.5,970.969
5069.3,573134.6,753.383
2104.5,155788.9,157.135
5204.9,563226.0,810.015
2618.3,202919.9,228.125
4455.0,427198.4,634.641
2288.9,170949.7,166.676
4848.4,525293.8,752.305
2918.7,244095.5,274.076
2394.1,181145.9,186.749
5325.0,596005.1,933.293
4748.3,446716.8,637.906
3193.9,291139.8,320.103
7296.2,1035282.3,1690.806
3334.4,292706.3,368.089
4072.5,406133.3,538.789
4438.6,502695.6,652.08
3282.3,281322.1,318.638
4793.8,504086.0,767.501
3012.7,307994.8,341.565
3469.8,322212.9,376.797
6997.4,956425.1,1574.368
2624.5,192832.4,226.974
2318.5,160761.7,157.135
7010.6,1158323.5,1923.132
12157.4,1925653.5,4096.811
3620.1,304724.3,378.736
2180.0,178311.4,157.135
3541.3,327978.1,408.801
3715.3,320750.9,416.872
3866.5,336778.3,450.514
2543.7,213380.1,214.04
4838.0,606887.2,837.582
5493.3,602346.3,801.233
2325.0,154659.9,157.449
5450.2,669002.5,922.359
9410.2,1441294.6,2745.497
4489.7,450922.1,603.069
3674.2,326741.5,400.053
3550.0,391453.8,468.252
5163.0,604807.9,862.027
2195.2,147812.9,157.135
4338.0,446521.9,599.402
3600.7,286212.9,383.282
8009.4,1173312.8,2327.662
3609.2,372997.6,456.269
7786.9,1151577.2,2013.455
2635.4,193953.7,215.711
5352.4,609394.2,842.795
4960.9,527460.3,679.159
2846.2,234798.3,260.624
4537.3,494265.7,605.717
6852.6,897104.5,1394.963
3665.0,329854.8,404.44
2233.3,154353.0,157.135
3993.1,371184.8,517.648
2722.0,234694.4,253.707
3402.2,284095.2,398.439
4009.4,368847.7,491.615
2230.6,152683.8,157.135
2198.6,146603.9,157.135
5096.1,534061.1,774.292
3283.7,313330.2,344.532
2155.3,161164.2,157.135
5546.8,641631.6,988.272
4712.5,466110.7,653.899
2941.8,237032.2,295.342
2423.9,177426.4,181.673
5709.9,677680.7,1029.708
4563.0,454505.2,695.751
10548.4,1869558.8,3581.723
4545.2,536546.2,736.626
4798.2,539378.0,717.592
3617.5,358170.1,458.941
5927.8,665314.2,1014.035
5237.4,661571.9,868.882
6613.7,897528.0,1439.743
3469.4,296535.5,344.92
3290.1,294301.1,369.648
3269.6,304266.6,356.858
5223.2,619780.5,993.029
7875.7,1027858.1,1756.355
3660.7,280355.7,362.733
3220.5,295357.9,372.83
4488.7,521815.8,676.251
3711.3,331369.3,430.69
5874.6,766644.0,1130.837
2232.7,164528.8,157.135
2914.8,234609.6,269.671
3030.3,254053.3,279.47
2151.2,156612.9,157.135
2792.8,216337.4,241.495
2702.6,230394.0,251.117
3706.6,385537.3,446.472
5969.3,794720.4,1287.417
3642.6,325818.9,430.933
2636.2,195744.9,228.769
4147.2,405572.5,501.472
6221.6,833133.4,1222.903
2771.2,207726.5,239.109
2828.7,200022.1,252.046
4699.9,554834.6,823.518
3450.4,356687.9,439.181
5237.2,605715.7,884.71
4109.4,400421.2,519.284
5370.8,613089.0,924.195
2601.2,216083.1,227.984
4027.5,404101.6,519.938
3704.9,359885.0,443.037
2582.7,184258.1,197.069
2301.1,156560.3,157.135
5268.9,637366.9,912.417
3540.3,304791.2,395.683
2736.7,211001.0,230.347
3998.3,391452.7,485.868
6877.6,877709.6,1303.13
2233.0,155715.1,157.135
2342.7,145346.0,157.166
2689.5,212029.5,249.558
7177.2,1004854.0,1704.487
4204.1,484909.3,659.305
5600.6,652554.1,974.411
2648.8,181457.7,209.471
2349.7,183831.7,212.982
4931.3,481106.3,753.21
4285.7,355631.5,550.272
5210.3,566509.6,817.033
3611.7,398343.1,451.332
4714.5,523985.0,656.949
4356.7,422136.9,596.38
5724.0,665965.9,982.652
5628.2,626010.2,1006.084
2269.8,142824.6,157.135
2336.9,143645.6,157.135
6068.6,755116.7,1177.042
6669.8,853145.2,1367.367
2847.3,209959.2,230.655
2223.6,157650.9,157.135
4065.4,419601.0,568.648
6109.0,730874.5,1111.667
8929.6,1207804.5,2235.318
5297.4,522143.6,795.949
3619.9,292274.9,389.117
2596.0,232511.1,255.614
4002.1,396543.5,529.894
3538.3,300605.6,412.514
2719.4,207411.6,231.69
9981.3,1409145.3,2736.816
8034.5,1375066.9,2213.044
7064.6,808996.6,1311.59
2776.7,228761.3,249.968
5592.8,733624.7,1045.774
5469.4,576476.2,879.125
5067.9,534547.3,750.019
6939.2,921184.6,1437.355
5118.6,606505.8,876.115
5617.6,656851.5,953.205
5067.9,564785.1,877.2
4540.6,512713.0,690.968
2227.0,148846.3,157.135
4089.9,429956.1,561.628
3406.3,292863.7,335.362
2384.0,181380.1,187.17
7976.5,1204766.9,2036.184
7917.9,1260330.2,2115.093
7365.7,995296.4,1570.032
4409.8,508576.3,644.92
7371.0,954679.6,1559.193
4285.5,406777.7,530.151
4355.8,478018.6,618.244
2633.2,193019.6,217.503
4705.1,483709.5,722.983
4279.3,426619.2,551.209
2398.7,171082.5,183.761
3936.5,364641.2,503.805
3964.4,389912.2,492.352
7914.3,1370300.4,2235.258
5841.1,656768.5,1079.334
4213.2,424449.7,529.892
4542.2,413990.8,641.589
4321.1,403747.0,544.071
3709.0,385099.0,445.822
2593.7,195980.5,219.448
3676.9,364821.5,464.85
2976.5,257086.9,287.771
2671.0,164082.0,191.677
5076.6,558636.9,792.7
4673.3,516857.1,719.654
2147.3,167392.0,157.135
3648.3,347725.5,475.6
5904.0,746334.2,1171.323
6454.7,756564.0,1232.848
6073.4,736536.6,1200.118
3994.8,434309.1,541.752
2810.0,232481.3,265.715
2710.0,193607.6,219.223
4679.7,487154.3,693.095
4643.1,497038.6,712.737
6780.3,896574.1,1481.655
6952.5,763764.1,1274.014
4067.9,362894.0,471.956
2624.8,176296.7,192.623
3350.0,313773.9,405.97
4433.2,464102.1,625.478
3670.8,355670.5,446.12
3308.6,268240.4,329.548
4720.5,467842.8,643.711
3379.1,322246.2,349.781
3063.8,296898.6,316.489
4511.8,464236.8,674.823
3562.5,295125.8,379.738
4640.4,444392.4,639.172
4587.6,503353.1,654.339
2595.3,188246.9,209.595
3372.7,297083.8,356.243
7372.5,1117797.5,1672.642
2632.7,189152.7,205.804
2292.6,157990.5,157.135
2237.6,156529.4,157.135
4126.4,396095.4,537.489
4123.1,430604.2,538.273
3777.4,355664.0,477.548
6457.0,936462.3,1396.843
2284.7,148094.4,157.135
4658.3,504550.4,722.367
7919.9,1037500.9,1847.926
2588.6,184745.3,211.572
3623.2,306767.3,386.588
3094.8,218180.6,286.2
2947.5,222299.4,255.364
3515.2,316255.5,403.636
7383.1,1045376.6,1658.827
8824.4,1336826.9,2308.163
3354.2,311166.5,400.5
9424.8,1336231.1,2437.543
4538.5,404845.0,540.298
8603.6,1335742.1,2157.611
4064.4,361778.1,486.997
4410.5,420231.7,583.514
4673.8,478903.4,704.851
14645.8,2886150.4,6804.246
5984.9,703798.7,1042.632
2955.6,256326.7,296.919
5787.3,797253.1,1146.385
3476.2,333981.8,392.229
3443.7,329112.7,353.809
5692.3,716516.6,1091.922
4100.6,403151.8,538.346
4552.2,448940.9,657.178
3946.4,418276.9,530.977
4244.7,500310.0,688.629
4654.4,543944.4,739.468
2258.9,144065.3,157.135
5450.3,626177.3,898.425
2805.8,214739.7,237.944
2341.6,159073.3,164.201
3892.4,372588.9,500.884
4087.1,448500.1,561.791
3136.7,283636.5,300.23
5663.4,647142.8,1025.752
2467.2,174685.6,178.0
3521.6,266677.3,378.226
3398.4,283906.9,327.699
3936.3,353808.0,505.68
4771.7,466771.7,657.33
2953.2,195749.2,233.034
5482.9,631741.2,941.196
4275.9,434787.3,552.372
2153.8,138983.7,157.135
2316.9,149792.1,157.135
4253.9,387101.6,519.84
3664.9,375736.3,439.382
4012.5,382683.7,483.041
4086.0,370701.2,513.319
4545.6,452214.8,629.69
6184.0,797176.1,1126.83
2666.2,202686.5,214.434
2534.1,179610.1,204.17
2719.4,195205.5,217.529
4799.6,476665.1,662.677
6600.3,869611.2,1431.9
3434.1,278298.1,370.862
2082.8,147428.2,157.135
2288.3,163478.7,157.135
3067.6,229559.5,268.299
3230.4,277981.4,334.947
3484.8,309830.9,377.785
4113.9,458554.6,541.607
3549.0,327586.3,408.385
6295.0,831748.1,1223.066
3015.8,251274.2,304.491
2859.8,226641.9,262.041
4779.9,545481.1,772.303
2288.8,146718.5,157.135
4827.0,509462.2,718.742
4185.8,447116.5,570.262
3856.3,349750.6,466.204
7681.4,1114657.0,1888.33
3329.0,277711.5,317.986
9209.1,1450115.0,2762.394
3827.4,365668.7,437.804
2374.6,176376.2,187.597
4342.2,415349.7,555.46
2760.6,180911.8,220.544
3152.2,242001.2,286.462
5085.8,526817.7,723.008
5171.7,625006.7,821.552
3341.6,275769.7,317.997
6491.4,800480.8,1163.518
6228.7,794820.0,1334.47
7115.4,1004228.6,1670.655
4764.2,598640.3,804.407
7385.2,922370.0,1575.365
2104.6,160049.6,157.135
3347.9,338323.3,406.363
2757.6,232073.8,261.053
3999.4,425272.8,577.977
3281.3,263632.6,331.264
3659.4,393051.7,459.225
8153.5,1390438.2,2392.998
3809.8,365003.3,457.909
4831.0,512057.7,732.839
3453.0,345309.8,435.398
4094.3,423836.7,558.06
4084.0,410005.7,527.578
4826.0,554496.4,753.52
6449.6,816050.4,1342.885
8319.7,1076082.5,1980.474
5044.3,490846.6,673.827
5117.5,536481.5,844.35
2437.6,187565.0,207.672
3907.3,368773.4,489.13
6015.2,752283.0,1120.166
5780.2,772582.3,1055.043
4560.0,416338.4,622.651
6380.7,794320.2,1072.554
4650.0,542969.6,779.74
6494.9,883202.6,1381.301
4883.6,449489.8,662.914
3467.5,334559.4,394.173
4828.5,498147.7,688.217
2292.6,152040.8,157.135
5009.8,465114.9,714.811
2413.3,153072.6,157.135
2265.5,159097.0,157.135
4571.5,529403.1,755.614
4816.4,577600.6,771.465
2791.8,200236.1,205.746
2898.3,244969.6,295.764
7241.0,1049085.6,1584.421
3040.5,293681.9,355.444
9557.9,1704197.4,3200.393
4230.6,401822.1,524.215
4823.4,522609.5,729.447
7722.2,995483.8,1932.356
4169.7,431599.9,583.5
2519.0,195951.2,234.078
4019.5,404588.7,480.592
3982.7,423538.0,510.173
2218.5,173298.2,174.792
3690.5,335436.8,427.209
3101.3,235895.4,288.678
5883.1,703012.4,1105.876
4162.9,451125.4,539.878
3651.7,322261.4,418.025
3806.0,332307.4,481.967
4480.4,486705.1,628.455
5395.6,642263.1,863.11
2846.8,228313.7,234.575
2771.9,215439.3,226.791
6207.5,866608.3,1278.848
3549.9,307692.7,376.585
